Position,Previous Position,Name,,Spotify Link,Monthly Listeners,DOB,Age,Country,Birth Name,Birthday,Age - Position,Leagues:
1,1,The Weeknd,1,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,"82,060,130",16/02/1990,32,Canada,Abel Makkonen Tesfaye,,31,Amber
2,2,Justin Bieber,3,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,"78,380,334",01/03/1994,27,Canada,-,,25,Topaz
